Validation error, mini-batch count, D/T.
0.245468, 14550, 2018-03-08 23:13:40.
0.242011, 14600, 2018-03-08 23:14:02.
0.242115, 14650, 2018-03-08 23:14:24.
0.242359, 14700, 2018-03-08 23:14:46.
0.250278, 14750, 2018-03-08 23:15:08.
0.247528, 14800, 2018-03-08 23:15:31.
0.242039, 14850, 2018-03-08 23:15:53.
0.247829, 14900, 2018-03-08 23:16:15.
0.243369, 14950, 2018-03-08 23:16:37.
0.244796, 15000, 2018-03-08 23:17:00.
0.246471, 15050, 2018-03-08 23:17:22.
0.244929, 15100, 2018-03-08 23:17:44.
0.243889, 15150, 2018-03-08 23:18:06.
0.252542, 15200, 2018-03-08 23:18:28.
0.242752, 15250, 2018-03-08 23:18:50.
0.244855, 15300, 2018-03-08 23:19:13.
0.244033, 15350, 2018-03-08 23:19:35.
0.244656, 15400, 2018-03-08 23:19:57.
0.242928, 15450, 2018-03-08 23:20:19.
0.242367, 15500, 2018-03-08 23:20:41.
0.239985, 15550, 2018-03-08 23:21:04.
0.246842, 15600, 2018-03-08 23:21:26.
0.246284, 15650, 2018-03-08 23:21:48.
0.245281, 15700, 2018-03-08 23:22:10.
0.246063, 15750, 2018-03-08 23:22:32.
0.238954, 15800, 2018-03-08 23:22:57.
0.2547, 15850, 2018-03-08 23:23:19.
0.239802, 15900, 2018-03-08 23:23:41.
0.246028, 15950, 2018-03-08 23:24:03.
0.242194, 16000, 2018-03-08 23:24:25.
0.241994, 16050, 2018-03-08 23:24:48.
0.24141, 16100, 2018-03-08 23:25:10.
0.240516, 16150, 2018-03-08 23:25:32.
0.24294, 16200, 2018-03-08 23:25:54.
0.23838, 16250, 2018-03-08 23:26:19.
0.240757, 16300, 2018-03-08 23:26:41.
0.248934, 16350, 2018-03-08 23:27:03.
0.251066, 16400, 2018-03-08 23:27:25.
0.242957, 16450, 2018-03-08 23:27:48.
0.240985, 16500, 2018-03-08 23:28:10.
0.24197, 16550, 2018-03-08 23:28:32.
0.247709, 16600, 2018-03-08 23:28:54.
0.246413, 16650, 2018-03-08 23:29:17.
0.249734, 16700, 2018-03-08 23:29:39.
0.242353, 16750, 2018-03-08 23:30:01.
0.243053, 16800, 2018-03-08 23:30:23.
0.241808, 16850, 2018-03-08 23:30:45.
0.240618, 16900, 2018-03-08 23:31:07.
0.24288, 16950, 2018-03-08 23:31:30.
0.242883, 17000, 2018-03-08 23:31:52.
0.236832, 17050, 2018-03-08 23:32:17.
0.238694, 17100, 2018-03-08 23:32:39.
0.242102, 17150, 2018-03-08 23:33:01.
0.237436, 17200, 2018-03-08 23:33:24.
0.242441, 17250, 2018-03-08 23:33:46.
0.238128, 17300, 2018-03-08 23:34:08.
0.242688, 17350, 2018-03-08 23:34:30.
0.249898, 17400, 2018-03-08 23:34:52.
0.237975, 17450, 2018-03-08 23:35:14.
0.249102, 17500, 2018-03-08 23:35:36.
0.239639, 17550, 2018-03-08 23:35:58.
0.237645, 17600, 2018-03-08 23:36:20.
0.243127, 17650, 2018-03-08 23:36:42.
0.239738, 17700, 2018-03-08 23:37:05.
0.236033, 17750, 2018-03-08 23:37:29.
0.237119, 17800, 2018-03-08 23:37:51.
0.236877, 17850, 2018-03-08 23:38:13.
0.239877, 17900, 2018-03-08 23:38:35.
0.243506, 17950, 2018-03-08 23:38:58.
0.240408, 18000, 2018-03-08 23:39:20.
0.237623, 18050, 2018-03-08 23:39:42.
0.240973, 18100, 2018-03-08 23:40:04.
0.242032, 18150, 2018-03-08 23:40:26.
0.237025, 18200, 2018-03-08 23:40:48.
0.240514, 18250, 2018-03-08 23:41:10.
0.23709, 18300, 2018-03-08 23:41:32.
0.239074, 18350, 2018-03-08 23:41:55.
0.235483, 18400, 2018-03-08 23:42:19.
0.238683, 18450, 2018-03-08 23:42:41.
0.236626, 18500, 2018-03-08 23:43:03.
0.239681, 18550, 2018-03-08 23:43:25.
0.239238, 18600, 2018-03-08 23:43:47.
0.241771, 18650, 2018-03-08 23:44:09.
0.239365, 18700, 2018-03-08 23:44:32.
0.24243, 18750, 2018-03-08 23:44:54.
0.237918, 18800, 2018-03-08 23:45:16.
0.249033, 18850, 2018-03-08 23:45:38.
0.248312, 18900, 2018-03-08 23:46:00.
0.239736, 18950, 2018-03-08 23:46:22.
0.240614, 19000, 2018-03-08 23:46:45.
0.236171, 19050, 2018-03-08 23:47:07.
0.237001, 19100, 2018-03-08 23:47:29.
0.237182, 19150, 2018-03-08 23:47:51.
0.238122, 19200, 2018-03-08 23:48:13.
0.237342, 19250, 2018-03-08 23:48:35.
0.25097, 19300, 2018-03-08 23:48:57.
0.237128, 19350, 2018-03-08 23:49:19.
0.236707, 19400, 2018-03-08 23:49:42.
0.237982, 19450, 2018-03-08 23:50:04.
0.234418, 19500, 2018-03-08 23:50:28.
0.257352, 19550, 2018-03-08 23:50:50.
0.240728, 19600, 2018-03-08 23:51:12.
0.237287, 19650, 2018-03-08 23:51:35.
0.238763, 19700, 2018-03-08 23:51:57.
0.240964, 19750, 2018-03-08 23:52:19.
0.236117, 19800, 2018-03-08 23:52:41.
0.242507, 19850, 2018-03-08 23:53:03.
0.237787, 19900, 2018-03-08 23:53:25.
0.239571, 19950, 2018-03-08 23:53:48.
0.240397, 20000, 2018-03-08 23:54:10.
0.24375, 20050, 2018-03-08 23:54:32.
0.238367, 20100, 2018-03-08 23:54:54.
0.236751, 20150, 2018-03-08 23:55:16.
0.237998, 20200, 2018-03-08 23:55:38.
0.235973, 20250, 2018-03-08 23:56:00.
0.235442, 20300, 2018-03-08 23:56:22.
0.23556, 20350, 2018-03-08 23:56:45.
0.237888, 20400, 2018-03-08 23:57:07.
0.243254, 20450, 2018-03-08 23:57:29.
0.240436, 20500, 2018-03-08 23:57:51.
0.238933, 20550, 2018-03-08 23:58:13.
0.237086, 20600, 2018-03-08 23:58:35.
0.241077, 20650, 2018-03-08 23:58:57.
0.239075, 20700, 2018-03-08 23:59:19.
0.253438, 20750, 2018-03-08 23:59:42.
0.242639, 20800, 2018-03-09 00:00:04.
0.237249, 20850, 2018-03-09 00:00:26.
0.235544, 20900, 2018-03-09 00:00:48.
0.243993, 20950, 2018-03-09 00:01:10.
0.233269, 21000, 2018-03-09 00:01:35.
0.24387, 21050, 2018-03-09 00:01:57.
0.234277, 21100, 2018-03-09 00:02:19.
0.24077, 21150, 2018-03-09 00:02:41.
0.239155, 21200, 2018-03-09 00:03:03.
0.237929, 21250, 2018-03-09 00:03:26.
0.236838, 21300, 2018-03-09 00:03:48.
0.236573, 21350, 2018-03-09 00:04:10.
0.239416, 21400, 2018-03-09 00:04:32.
0.238011, 21450, 2018-03-09 00:04:54.
0.236817, 21500, 2018-03-09 00:05:16.
0.237353, 21550, 2018-03-09 00:05:38.
0.237807, 21600, 2018-03-09 00:06:01.
0.240967, 21650, 2018-03-09 00:06:23.
0.236798, 21700, 2018-03-09 00:06:45.
0.238018, 21750, 2018-03-09 00:07:07.
0.236712, 21800, 2018-03-09 00:07:29.
0.232707, 21850, 2018-03-09 00:07:54.
0.235633, 21900, 2018-03-09 00:08:16.
0.237354, 21950, 2018-03-09 00:08:38.
0.238326, 22000, 2018-03-09 00:09:00.
0.234182, 22050, 2018-03-09 00:09:22.
0.236507, 22100, 2018-03-09 00:09:45.
0.237704, 22150, 2018-03-09 00:10:07.
0.234315, 22200, 2018-03-09 00:10:29.
0.242622, 22250, 2018-03-09 00:10:51.
0.23817, 22300, 2018-03-09 00:11:13.
0.234111, 22350, 2018-03-09 00:11:35.
0.231532, 22400, 2018-03-09 00:12:00.
0.247137, 22450, 2018-03-09 00:12:22.
0.239623, 22500, 2018-03-09 00:12:45.
0.239663, 22550, 2018-03-09 00:13:07.
0.240548, 22600, 2018-03-09 00:13:29.
0.258362, 22650, 2018-03-09 00:13:51.
0.234516, 22700, 2018-03-09 00:14:14.
0.237593, 22750, 2018-03-09 00:14:36.
0.232933, 22800, 2018-03-09 00:14:58.
0.234518, 22850, 2018-03-09 00:15:20.
0.237595, 22900, 2018-03-09 00:15:42.
0.237324, 22950, 2018-03-09 00:16:04.
0.233361, 23000, 2018-03-09 00:16:26.
0.24832, 23050, 2018-03-09 00:16:49.
0.23492, 23100, 2018-03-09 00:17:11.
0.239584, 23150, 2018-03-09 00:17:33.
0.238402, 23200, 2018-03-09 00:17:55.
0.234492, 23250, 2018-03-09 00:18:17.
0.239789, 23300, 2018-03-09 00:18:40.
0.237834, 23350, 2018-03-09 00:19:02.
0.239473, 23400, 2018-03-09 00:19:24.
0.231234, 23450, 2018-03-09 00:19:49.
0.235317, 23500, 2018-03-09 00:20:11.
0.239219, 23550, 2018-03-09 00:20:33.
0.237726, 23600, 2018-03-09 00:20:55.
0.23572, 23650, 2018-03-09 00:21:17.
0.23852, 23700, 2018-03-09 00:21:40.
0.236506, 23750, 2018-03-09 00:22:02.
0.235131, 23800, 2018-03-09 00:22:24.
0.2355, 23850, 2018-03-09 00:22:46.
0.233869, 23900, 2018-03-09 00:23:08.
0.230971, 23950, 2018-03-09 00:23:33.
0.238558, 24000, 2018-03-09 00:23:55.
0.245974, 24050, 2018-03-09 00:24:17.
0.234791, 24100, 2018-03-09 00:24:40.
0.241454, 24150, 2018-03-09 00:25:02.
0.246449, 24200, 2018-03-09 00:25:24.
0.235339, 24250, 2018-03-09 00:25:46.
0.233706, 24300, 2018-03-09 00:26:08.
0.240264, 24350, 2018-03-09 00:26:30.
0.233485, 24400, 2018-03-09 00:26:53.
0.235, 24450, 2018-03-09 00:27:15.
0.233035, 24500, 2018-03-09 00:27:37.
0.234571, 24550, 2018-03-09 00:27:59.
0.23113, 24600, 2018-03-09 00:28:21.
0.233934, 24650, 2018-03-09 00:28:44.
0.240654, 24700, 2018-03-09 00:29:06.
0.232995, 24750, 2018-03-09 00:29:28.
0.232893, 24800, 2018-03-09 00:29:50.
0.24189, 24850, 2018-03-09 00:30:13.
0.233157, 24900, 2018-03-09 00:30:35.
0.234591, 24950, 2018-03-09 00:30:57.
