Validation error, mini-batch count, D/T.
0.333719, 12050, 2018-03-09 11:53:16.
0.333661, 12100, 2018-03-09 11:53:38.
0.333579, 12150, 2018-03-09 11:54:01.
0.332527, 12200, 2018-03-09 11:54:25.
0.331712, 12250, 2018-03-09 11:54:49.
0.333201, 12300, 2018-03-09 11:55:12.
0.332244, 12350, 2018-03-09 11:55:34.
0.332565, 12400, 2018-03-09 11:55:56.
0.333463, 12450, 2018-03-09 11:56:18.
0.332349, 12500, 2018-03-09 11:56:40.
0.333367, 12550, 2018-03-09 11:57:02.
0.333423, 12600, 2018-03-09 11:57:25.
0.33391, 12650, 2018-03-09 11:57:47.
0.334503, 12700, 2018-03-09 11:58:09.
0.332714, 12750, 2018-03-09 11:58:31.
0.334767, 12800, 2018-03-09 11:58:53.
0.331154, 12850, 2018-03-09 11:59:18.
0.331781, 12900, 2018-03-09 11:59:40.
0.334282, 12950, 2018-03-09 12:00:02.
0.331711, 13000, 2018-03-09 12:00:24.
0.331875, 13050, 2018-03-09 12:00:46.
0.330326, 13100, 2018-03-09 12:01:11.
0.332795, 13150, 2018-03-09 12:01:33.
0.3316, 13200, 2018-03-09 12:01:55.
0.332967, 13250, 2018-03-09 12:02:18.
0.333501, 13300, 2018-03-09 12:02:40.
0.330341, 13350, 2018-03-09 12:03:02.
0.33108, 13400, 2018-03-09 12:03:24.
0.331584, 13450, 2018-03-09 12:03:46.
0.33087, 13500, 2018-03-09 12:04:08.
0.330553, 13550, 2018-03-09 12:04:31.
0.331477, 13600, 2018-03-09 12:04:53.
0.331371, 13650, 2018-03-09 12:05:15.
0.331159, 13700, 2018-03-09 12:05:37.
0.331219, 13750, 2018-03-09 12:05:59.
0.330142, 13800, 2018-03-09 12:06:24.
0.334426, 13850, 2018-03-09 12:06:46.
0.331084, 13900, 2018-03-09 12:07:08.
0.331722, 13950, 2018-03-09 12:07:30.
0.33018, 14000, 2018-03-09 12:07:53.
0.331965, 14050, 2018-03-09 12:08:15.
0.33111, 14100, 2018-03-09 12:08:37.
0.32945, 14150, 2018-03-09 12:09:02.
0.331845, 14200, 2018-03-09 12:09:24.
0.332283, 14250, 2018-03-09 12:09:46.
0.332305, 14300, 2018-03-09 12:10:08.
0.330513, 14350, 2018-03-09 12:10:30.
0.332233, 14400, 2018-03-09 12:10:53.
0.332399, 14450, 2018-03-09 12:11:15.
0.329868, 14500, 2018-03-09 12:11:37.
0.333498, 14550, 2018-03-09 12:11:59.
0.329784, 14600, 2018-03-09 12:12:21.
0.328172, 14650, 2018-03-09 12:12:45.
0.329834, 14700, 2018-03-09 12:13:08.
0.330337, 14750, 2018-03-09 12:13:30.
0.328722, 14800, 2018-03-09 12:13:53.
0.330061, 14850, 2018-03-09 12:14:15.
0.328899, 14900, 2018-03-09 12:14:37.
0.328862, 14950, 2018-03-09 12:15:00.
0.328886, 15000, 2018-03-09 12:15:22.
0.330251, 15050, 2018-03-09 12:15:44.
0.32976, 15100, 2018-03-09 12:16:07.
0.333162, 15150, 2018-03-09 12:16:29.
0.328048, 15200, 2018-03-09 12:16:54.
0.327136, 15250, 2018-03-09 12:17:19.
0.330393, 15300, 2018-03-09 12:17:41.
0.332777, 15350, 2018-03-09 12:18:04.
0.330914, 15400, 2018-03-09 12:18:26.
0.328019, 15450, 2018-03-09 12:18:48.
0.328816, 15500, 2018-03-09 12:19:11.
0.328963, 15550, 2018-03-09 12:19:33.
0.327131, 15600, 2018-03-09 12:19:58.
0.328065, 15650, 2018-03-09 12:20:20.
0.32691, 15700, 2018-03-09 12:20:45.
0.327886, 15750, 2018-03-09 12:21:07.
0.327423, 15800, 2018-03-09 12:21:30.
0.32892, 15850, 2018-03-09 12:21:52.
0.3271, 15900, 2018-03-09 12:22:14.
0.330563, 15950, 2018-03-09 12:22:37.
0.329435, 16000, 2018-03-09 12:22:59.
0.328805, 16050, 2018-03-09 12:23:21.
0.329121, 16100, 2018-03-09 12:23:44.
0.326239, 16150, 2018-03-09 12:24:09.
0.328558, 16200, 2018-03-09 12:24:31.
0.328331, 16250, 2018-03-09 12:24:53.
0.330098, 16300, 2018-03-09 12:25:16.
0.329875, 16350, 2018-03-09 12:25:38.
0.32832, 16400, 2018-03-09 12:26:00.
0.3279, 16450, 2018-03-09 12:26:23.
0.327984, 16500, 2018-03-09 12:26:45.
0.328661, 16550, 2018-03-09 12:27:07.
0.330064, 16600, 2018-03-09 12:27:30.
0.330634, 16650, 2018-03-09 12:27:52.
0.328965, 16700, 2018-03-09 12:28:15.
0.33078, 16750, 2018-03-09 12:28:37.
0.329223, 16800, 2018-03-09 12:28:59.
0.328709, 16850, 2018-03-09 12:29:22.
0.327809, 16900, 2018-03-09 12:29:44.
0.329911, 16950, 2018-03-09 12:30:07.
0.327714, 17000, 2018-03-09 12:30:29.
0.329517, 17050, 2018-03-09 12:30:51.
0.326557, 17100, 2018-03-09 12:31:14.
0.328859, 17150, 2018-03-09 12:31:36.
0.32672, 17200, 2018-03-09 12:31:59.
0.32732, 17250, 2018-03-09 12:32:21.
0.329421, 17300, 2018-03-09 12:32:43.
0.3271, 17350, 2018-03-09 12:33:06.
0.327947, 17400, 2018-03-09 12:33:28.
0.327694, 17450, 2018-03-09 12:33:50.
0.326785, 17500, 2018-03-09 12:34:13.
0.326803, 17550, 2018-03-09 12:34:35.
0.327397, 17600, 2018-03-09 12:34:58.
0.328517, 17650, 2018-03-09 12:35:20.
0.327051, 17700, 2018-03-09 12:35:42.
0.327951, 17750, 2018-03-09 12:36:04.
0.328102, 17800, 2018-03-09 12:36:27.
0.32852, 17850, 2018-03-09 12:36:49.
0.329458, 17900, 2018-03-09 12:37:12.
0.327218, 17950, 2018-03-09 12:37:34.
0.327607, 18000, 2018-03-09 12:37:56.
0.328017, 18050, 2018-03-09 12:38:19.
0.329818, 18100, 2018-03-09 12:38:41.
0.327535, 18150, 2018-03-09 12:39:03.
0.32871, 18200, 2018-03-09 12:39:26.
0.32738, 18250, 2018-03-09 12:39:48.
0.327276, 18300, 2018-03-09 12:40:11.
0.327946, 18350, 2018-03-09 12:40:33.
0.328468, 18400, 2018-03-09 12:40:55.
0.329154, 18450, 2018-03-09 12:41:18.
0.327287, 18500, 2018-03-09 12:41:40.
0.328505, 18550, 2018-03-09 12:42:02.
0.328075, 18600, 2018-03-09 12:42:25.
0.328182, 18650, 2018-03-09 12:42:47.
0.328326, 18700, 2018-03-09 12:43:09.
0.329925, 18750, 2018-03-09 12:43:32.
0.328407, 18800, 2018-03-09 12:43:54.
0.329005, 18850, 2018-03-09 12:44:16.
0.32809, 18900, 2018-03-09 12:44:39.
0.329999, 18950, 2018-03-09 12:45:01.
0.327916, 19000, 2018-03-09 12:45:23.
0.330461, 19050, 2018-03-09 12:45:46.
0.327072, 19100, 2018-03-09 12:46:08.
0.327571, 19150, 2018-03-09 12:46:30.
0.327207, 19200, 2018-03-09 12:46:53.
0.326762, 19250, 2018-03-09 12:47:15.
0.326152, 19300, 2018-03-09 12:47:40.
0.327386, 19350, 2018-03-09 12:48:02.
0.327507, 19400, 2018-03-09 12:48:25.
0.328336, 19450, 2018-03-09 12:48:47.
0.32669, 19500, 2018-03-09 12:49:09.
0.326153, 19550, 2018-03-09 12:49:31.
0.327431, 19600, 2018-03-09 12:49:54.
0.328183, 19650, 2018-03-09 12:50:16.
0.326832, 19700, 2018-03-09 12:50:38.
0.327481, 19750, 2018-03-09 12:51:00.
0.327033, 19800, 2018-03-09 12:51:23.
0.326594, 19850, 2018-03-09 12:51:45.
0.327288, 19900, 2018-03-09 12:52:07.
0.328512, 19950, 2018-03-09 12:52:30.
0.327129, 20000, 2018-03-09 12:52:52.
0.327045, 20050, 2018-03-09 12:53:14.
0.326995, 20100, 2018-03-09 12:53:37.
0.327335, 20150, 2018-03-09 12:53:59.
0.329368, 20200, 2018-03-09 12:54:21.
0.327089, 20250, 2018-03-09 12:54:44.
0.326155, 20300, 2018-03-09 12:55:06.
0.327521, 20350, 2018-03-09 12:55:28.
0.328112, 20400, 2018-03-09 12:55:51.
0.328185, 20450, 2018-03-09 12:56:13.
0.326482, 20500, 2018-03-09 12:56:35.
0.327249, 20550, 2018-03-09 12:56:57.
0.326592, 20600, 2018-03-09 12:57:20.
0.327661, 20650, 2018-03-09 12:57:42.
0.32879, 20700, 2018-03-09 12:58:04.
0.327538, 20750, 2018-03-09 12:58:27.
0.325438, 20800, 2018-03-09 12:58:52.
0.326311, 20850, 2018-03-09 12:59:14.
0.327037, 20900, 2018-03-09 12:59:36.
0.327581, 20950, 2018-03-09 12:59:59.
0.326857, 21000, 2018-03-09 13:00:21.
0.327815, 21050, 2018-03-09 13:00:43.
0.326045, 21100, 2018-03-09 13:01:06.
0.333153, 21150, 2018-03-09 13:01:28.
0.326782, 21200, 2018-03-09 13:01:50.
0.327587, 21250, 2018-03-09 13:02:13.
0.327743, 21300, 2018-03-09 13:02:35.
0.326263, 21350, 2018-03-09 13:02:57.
0.326423, 21400, 2018-03-09 13:03:20.
0.325704, 21450, 2018-03-09 13:03:42.
0.325963, 21500, 2018-03-09 13:04:05.
0.326381, 21550, 2018-03-09 13:04:27.
0.327226, 21600, 2018-03-09 13:04:49.
0.326328, 21650, 2018-03-09 13:05:12.
0.328468, 21700, 2018-03-09 13:05:34.
0.324918, 21750, 2018-03-09 13:06:00.
0.326835, 21800, 2018-03-09 13:06:22.
0.326277, 21850, 2018-03-09 13:06:44.
0.325845, 21900, 2018-03-09 13:07:06.
0.325701, 21950, 2018-03-09 13:07:29.
0.326963, 22000, 2018-03-09 13:07:51.
0.326374, 22050, 2018-03-09 13:08:13.
0.326038, 22100, 2018-03-09 13:08:36.
0.330384, 22150, 2018-03-09 13:08:58.
0.325979, 22200, 2018-03-09 13:09:21.
0.32559, 22250, 2018-03-09 13:09:43.
0.326307, 22300, 2018-03-09 13:10:05.
0.325267, 22350, 2018-03-09 13:10:28.
0.327128, 22400, 2018-03-09 13:10:50.
0.326402, 22450, 2018-03-09 13:11:12.
0.326698, 22500, 2018-03-09 13:11:35.
0.326758, 22550, 2018-03-09 13:11:57.
0.325278, 22600, 2018-03-09 13:12:19.
0.325623, 22650, 2018-03-09 13:12:42.
0.325993, 22700, 2018-03-09 13:13:04.
0.325736, 22750, 2018-03-09 13:13:26.
0.32581, 22800, 2018-03-09 13:13:48.
0.324159, 22850, 2018-03-09 13:14:13.
0.32477, 22900, 2018-03-09 13:14:35.
0.328509, 22950, 2018-03-09 13:14:58.
0.325983, 23000, 2018-03-09 13:15:20.
0.323912, 23050, 2018-03-09 13:15:45.
0.331564, 23100, 2018-03-09 13:16:07.
