Validation error, mini-batch count, D/T.
0.12366, 20750, 2018-03-10 11:35:05.
0.128025, 20800, 2018-03-10 11:36:58.
0.122844, 20850, 2018-03-10 11:38:51.
0.122309, 20900, 2018-03-10 11:40:43.
0.121716, 20950, 2018-03-10 11:42:36.
0.123037, 21000, 2018-03-10 11:44:32.
0.122578, 21050, 2018-03-10 11:46:26.
0.123126, 21100, 2018-03-10 11:48:19.
0.122936, 21150, 2018-03-10 11:50:14.
0.120804, 21200, 2018-03-10 11:52:09.
0.121515, 21250, 2018-03-10 11:54:01.
0.121299, 21300, 2018-03-10 11:55:54.
0.125057, 21350, 2018-03-10 11:57:48.
0.131466, 21400, 2018-03-10 11:59:43.
0.125798, 21450, 2018-03-10 12:01:37.
0.130021, 21500, 2018-03-10 12:03:28.
0.121853, 21550, 2018-03-10 12:05:18.
0.121875, 21600, 2018-03-10 12:07:15.
0.120966, 21650, 2018-03-10 12:09:07.
0.121442, 21700, 2018-03-10 12:10:59.
0.121727, 21750, 2018-03-10 12:12:48.
0.126126, 21800, 2018-03-10 12:14:43.
0.123335, 21850, 2018-03-10 12:16:37.
0.121858, 21900, 2018-03-10 12:18:30.
0.121183, 21950, 2018-03-10 12:20:27.
0.121825, 22000, 2018-03-10 12:22:20.
0.123195, 22050, 2018-03-10 12:24:13.
0.12119, 22100, 2018-03-10 12:26:05.
0.12194, 22150, 2018-03-10 12:28:03.
0.125061, 22200, 2018-03-10 12:29:55.
0.122113, 22250, 2018-03-10 12:31:49.
0.121676, 22300, 2018-03-10 12:33:40.
0.123326, 22350, 2018-03-10 12:35:34.
0.127357, 22400, 2018-03-10 12:37:24.
0.130812, 22450, 2018-03-10 12:39:22.
0.122305, 22500, 2018-03-10 12:41:16.
0.122288, 22550, 2018-03-10 12:43:11.
0.121216, 22600, 2018-03-10 12:45:04.
0.121502, 22650, 2018-03-10 12:46:57.
0.133868, 22700, 2018-03-10 12:48:49.
0.124014, 22750, 2018-03-10 12:50:41.
0.122474, 22800, 2018-03-10 12:52:35.
0.122358, 22850, 2018-03-10 12:54:31.
0.123827, 22900, 2018-03-10 12:56:24.
0.121601, 22950, 2018-03-10 12:58:17.
0.121003, 23000, 2018-03-10 13:00:09.
0.120919, 23050, 2018-03-10 13:02:03.
0.120723, 23100, 2018-03-10 13:03:57.
0.121289, 23150, 2018-03-10 13:05:51.
0.122023, 23200, 2018-03-10 13:07:44.
0.123209, 23250, 2018-03-10 13:09:37.
